order,lemma_de,display_de,article,pos,current_meaning_ja,suggested_meaning_ja,reason,confidence,action,notes
14,Achtung,Achtung,die,noun,危険,注意,機械翻訳が警告語を名詞の危険として寄せすぎている,high,auto-fixable,meaning_ja: Google Translate candidate
16,Affe,Affe,der,noun,類人猿,猿,類人猿より一般語としては猿,high,auto-fixable,meaning_ja: Google Translate candidate
18,Ahnung,Ahnung,die,noun,アイデア,予感、見当,Ahnung はアイデアよりも予感・見当・心当たり / 英語寄り・意味がずれている可能性 / カタカナ直訳。false friend や文脈違いの可能性,high,auto-fixable,meaning_ja: Google Translate candidate
27,Alter,Alter,der,noun,古い,年齢,Alter は形容詞 alt ではなく名詞として年齢が基本 / 名詞化された語を形容詞として訳している可能性,high,auto-fixable,"noun candidate: Substantiv,adjektivische Deklination; noun candidate: Substantiv,adjektivische Deklination; noun candidate: Substantiv,adjektivische Deklination; meaning_ja: Google Translate candidate"
105,Automat,Automat,der,noun,オートマチック,自動販売機、券売機,Automat はオートマチックではなく機械装置・販売機 / カタカナ直訳でドイツ語の普通語義とずれる可能性 / カタカナ直訳。false friend や文脈違いの可能性,high,auto-fixable,meaning_ja: Google Translate candidate
108,Bach,Bach,der,noun,バッハ,小川,der Bach は作曲家名ではなく普通名詞では小川 / カタカナ直訳。false friend や文脈違いの可能性,high,auto-fixable,meaning_ja: Google Translate candidate
130,Bedingung,Bedingung,die,noun,状態,条件,Bedingung は状態ではなく条件 / Bedingung / Zustand などの区別が必要,high,auto-fixable,meaning_ja: Google Translate candidate
135,Begriff,Begriff,der,noun,表現,概念、用語,Begriff は表現より概念・用語 / Ausdruck / Begriff などの区別が必要,high,auto-fixable,meaning_ja: Google Translate candidate
145,Bekannte,Bekannte,die,noun,知り合い,知人,Bekannte は知っている人・知人,high,auto-fixable,meaning_ja: Google Translate candidate
577,Handy,Handy,das,noun,携帯電話,携帯電話、スマホ,Handy は便利なではなく携帯電話,high,auto-fixable,meaning_ja: Google Translate candidate
748,kriegen,kriegen,,verb,得る,得る、受け取る,口語の kriegen は戦争ではなく bekommen に近い,high,auto-fixable,meaning_ja: Google Translate candidate
1035,Rat,Rat,der,noun,アドバイス,助言、評議会,Rat はネズミではなく助言・評議会 / カタカナ直訳。false friend や文脈違いの可能性,high,auto-fixable,meaning_ja: Google Translate candidate
1073,Rezept,Rezept,das,noun,レシピ,処方箋、レシピ,Rezept は処方箋と料理レシピの両方 / カタカナ直訳。false friend や文脈違いの可能性,high,auto-fixable,meaning_ja: Google Translate candidate
5,abfahren,abfahren,,verb,出発,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
29,anbieten,anbieten,,verb,オファー,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性 / カタカナ直訳。false friend や文脈違いの可能性,medium,review-required,meaning_ja: Google Translate candidate
31,ändern,ändern,,verb,変化,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
37,angeln,angeln,,verb,釣り,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
41,ankommen,ankommen,,verb,到着,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
47,anrufen,anrufen,,verb,電話,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
48,ansehen,ansehen,,verb,ビュー,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性 / カタカナ直訳。false friend や文脈違いの可能性,medium,review-required,meaning_ja: Google Translate candidate
50,antworten,antworten,,verb,答え,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
60,arbeiten,arbeiten,,verb,仕事,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
73,Aufenthalt,Aufenthalt,der,noun,滞在する,,名詞なのに日本語訳が動詞句になっている,medium,review-required,meaning_ja: Google Translate candidate
74,Aufgabe,Aufgabe,die,noun,タスク,,Aufgabe などは課題・任務が自然な場合が多い / カタカナ直訳。false friend や文脈違いの可能性,medium,review-required,meaning_ja: Google Translate candidate
75,aufgehen,aufgehen,,verb,上昇,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
76,aufhören,aufhören,,verb,停止,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
84,Ausdruck,Ausdruck,der,noun,表現,,Ausdruck / Begriff などの区別が必要,medium,review-required,noun candidate: Substantiv; noun candidate: Substantiv; noun candidate: Substantiv; meaning_ja: Google Translate candidate
87,ausgehen,ausgehen,,verb,外出,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
95,aussehen,aussehen,,verb,見て,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
100,aussprechen,aussprechen,,verb,急行,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
101,aussteigen,aussteigen,,verb,出口,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
113,baden,baden,,verb,入浴,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
127,bedeuten,bedeuten,,verb,平均,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
128,Bedeutung,Bedeutung,die,noun,意味,意味、重要性,Bedeutung は意味と重要性の両方を持つ,medium,review-required,meaning_ja: Google Translate candidate
129,Bedienung,Bedienung,die,noun,サービス,,Dienst / Bedienung などは文脈により接客・勤務・奉仕 / カタカナ直訳。false friend や文脈違いの可能性,medium,review-required,meaning_ja: Google Translate candidate
131,befehlen,befehlen,,verb,指示,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
132,begegnen,begegnen,,verb,出会い,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
148,benutzen,benutzen,,verb,使用,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
158,besichtigen,besichtigen,,verb,ビュー,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性 / カタカナ直訳。false friend や文脈違いの可能性,medium,review-required,meaning_ja: Google Translate candidate
159,besitzen,besitzen,,verb,自分の,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
164,bestehen,bestehen,,verb,構成,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
165,bestellen,bestellen,,verb,注文,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
167,besuchen,besuchen,,verb,訪問,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
178,bilden,bilden,,verb,形状,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
183,bisschen,bisschen,,verb,少し,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
192,blicken,blicken,,verb,見て,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
203,braten,braten,,verb,稚魚,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
204,brauchen,brauchen,,verb,必要,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
210,brennen,brennen,,verb,やけど,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
247,danken,danken,,verb,感謝,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
255,dauern,dauern,,verb,最後,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
258,decken,decken,,verb,カバー,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性 / カタカナ直訳。false friend や文脈違いの可能性,medium,review-required,meaning_ja: Google Translate candidate
279,draußen,draußen,,verb,外,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
280,drinnen,drinnen,,verb,内部,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
281,drücken,drücken,,verb,プレス,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性 / カタカナ直訳。false friend や文脈違いの可能性,medium,review-required,meaning_ja: Google Translate candidate
291,duschen,duschen,,verb,シャワー,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性 / カタカナ直訳。false friend や文脈違いの可能性,medium,review-required,meaning_ja: Google Translate candidate
308,einkaufen,einkaufen,,verb,買い物,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
322,empfangen,empfangen,,verb,受け取った,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
326,enden,enden,,verb,終わり,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
335,entschlossen,entschlossen,,verb,決定した,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
336,entschuldigen,entschuldigen,,verb,言い訳,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
343,erfahren,erfahren,,verb,経験,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
348,erinnern,erinnern,,verb,覚えて,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
355,erledigen,erledigen,,verb,完了,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
363,erzählen,erzählen,,verb,教えて,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
387,fallen,fallen,,verb,秋,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
391,fangen,fangen,,verb,キャッチ,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性 / カタカナ直訳。false friend や文脈違いの可能性,medium,review-required,meaning_ja: Google Translate candidate
403,fern,fern,,verb,リモート,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性 / カタカナ直訳。false friend や文脈違いの可能性,medium,review-required,meaning_ja: Google Translate candidate
404,fernsehen,fernsehen,,verb,テレビ,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
420,fließen,fließen,,verb,流れ,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
426,folgen,folgen,,verb,結果,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
427,fordern,fordern,,verb,要求,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
434,fotografieren,fotografieren,,verb,写真,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
436,fragen,fragen,,verb,質問,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
460,führen,führen,,verb,鉛,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
465,fürchten,fürchten,,verb,恐れ,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
486,gefallen,gefallen,,verb,落ちた,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
488,gegen,gegen,,verb,に対して,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
497,gelangen,gelangen,,verb,到着,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
511,gern,gern,,verb,喜んで,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
523,gestern,gestern,,verb,昨日,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
540,golden,golden,,verb,ゴールデン,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性 / カタカナ直訳。false friend や文脈違いの可能性,medium,review-required,meaning_ja: Google Translate candidate
571,halten,halten,,verb,所有,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
575,handeln,handeln,,verb,活動,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
596,helfen,helfen,,verb,ヘルプ,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性 / カタカナ直訳。false friend や文脈違いの可能性,medium,review-required,meaning_ja: Google Translate candidate
621,hoffen,hoffen,,verb,希望,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
624,holen,holen,,verb,フェッチ,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性 / カタカナ直訳。false friend や文脈違いの可能性,medium,review-required,meaning_ja: Google Translate candidate
634,husten,husten,,verb,咳,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
636,Idee,Idee,die,noun,アイデア,,英語寄り・意味がずれている可能性 / カタカナ直訳。false friend や文脈違いの可能性,medium,review-required,meaning_ja: Google Translate candidate
652,inzwischen,inzwischen,,verb,間に,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
664,jobben,jobben,,verb,仕事,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
676,kämpfen,kämpfen,,verb,戦い,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
710,klingeln,klingeln,,verb,指輪,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
711,klingen,klingen,,verb,音,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
712,klopfen,klopfen,,verb,ノック,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性 / カタカナ直訳。false friend や文脈違いの可能性,medium,review-required,meaning_ja: Google Translate candidate
717,Koch,Koch,der,noun,料理する,,名詞なのに日本語訳が動詞句になっている,medium,review-required,noun candidate: Substantiv; noun candidate: Substantiv; noun candidate: Substantiv; meaning_ja: Google Translate candidate
734,kosten,kosten,,verb,料金,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
757,kümmern,kümmern,,verb,気をつけて,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
764,küssen,küssen,,verb,キス,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性 / カタカナ直訳。false friend や文脈違いの可能性,medium,review-required,meaning_ja: Google Translate candidate
765,lächeln,lächeln,,verb,笑顔,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
770,landen,landen,,verb,土地,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
792,leid|tun,leid|tun,,verb,ごめん,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
802,lieben,lieben,,verb,愛,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
805,liefern,liefern,,verb,配達,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
807,Linie,Linie,die,noun,ライン,,Linie / Zeile などは線・行・路線の可能性 / カタカナ直訳。false friend や文脈違いの可能性,medium,review-required,meaning_ja: Google Translate candidate
813,loben,loben,,verb,賞賛,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
822,lügen,lügen,,verb,嘘,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
829,malen,malen,,verb,ペイント,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性 / カタカナ直訳。false friend や文脈違いの可能性,medium,review-required,meaning_ja: Google Translate candidate
859,merken,merken,,verb,覚えて,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
860,messen,messen,,verb,測定,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
864,mieten,mieten,,verb,家賃,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
877,mitten,mitten,,verb,真ん中,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
882,modern,modern,,verb,モダンな,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
921,neben,neben,,verb,の隣に,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
945,nützen,nützen,,verb,使用,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
948,oben,oben,,verb,上,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
972,packen,packen,,verb,パック,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性 / カタカナ直訳。false friend や文脈違いの可能性,medium,review-required,meaning_ja: Google Translate candidate
976,parken,parken,,verb,公園,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
980,passen,passen,,verb,フィット,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性 / カタカナ直訳。false friend や文脈違いの可能性,medium,review-required,meaning_ja: Google Translate candidate
1019,prüfen,prüfen,,verb,チェック,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性 / カタカナ直訳。false friend や文脈違いの可能性,medium,review-required,meaning_ja: Google Translate candidate
1026,putzen,putzen,,verb,クリーニング,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性 / カタカナ直訳。false friend や文脈違いの可能性,medium,review-required,meaning_ja: Google Translate candidate
1036,raten,raten,,verb,推測,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
1040,rauchen,rauchen,,verb,煙,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
1055,regnen,regnen,,verb,雨,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
1063,reisen,reisen,,verb,旅行,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
1067,reparieren,reparieren,,verb,修理,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
1071,retten,retten,,verb,保存,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
1077,riechen,riechen,,verb,匂い,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
1087,rufen,rufen,,verb,電話,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
1120,schicken,schicken,,verb,送信,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
1123,Schild,Schild,der,noun,サイン,,英語 sign 寄りの直訳で、Zeichen などは記号・印の可能性 / カタカナ直訳。false friend や文脈違いの可能性,medium,review-required,noun candidate: Substantiv; noun candidate: Substantiv; noun candidate: Substantiv; meaning_ja: Google Translate candidate
1130,schließen,schließen,,verb,近い,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
1137,schmecken,schmecken,,verb,おいしい,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
1143,schneiden,schneiden,,verb,カット,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性 / カタカナ直訳。false friend や文脈違いの可能性,medium,review-required,meaning_ja: Google Translate candidate
1144,schneien,schneien,,verb,雪,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
1150,schreien,schreien,,verb,悲鳴,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
1161,schweigen,schweigen,,verb,黙ってください,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
1168,schwitzen,schwitzen,,verb,汗,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
1180,selten,selten,,verb,めったに,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
1182,senden,senden,,verb,送信,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
1188,silbern,silbern,,verb,銀,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
1191,sinken,sinken,,verb,シンク,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性 / カタカナ直訳。false friend や文脈違いの可能性,medium,review-required,meaning_ja: Google Translate candidate
1206,sondern,sondern,,verb,それよりも,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
1215,sparen,sparen,,verb,保存,,動詞なのに日本語訳が名詞形・語幹訳に崩れている可能性,medium,review-required,meaning_ja: Google Translate candidate
